time,Population1,Population2
0,25,25
10,33,27
20,40,28
30,43,31
40,45,35
50,52,38
60,57,42
70,63,46
80,70,49
90,76,53
100,82,57
110,86,58
120,89,60
130,92,63
140,91,67
140,90,67
150,87,71
160,89,76
170,91,83
180,90,92
190,83,100
200,85,107
210,87,112
220,90,119
230,92,127
240,97,131
250,98,135
260,101,142
270,102,150
280,109,152
290,114,156
300,114,164
310,116,170
320,120,175
330,123,178
340,122,187
350,123,192
360,121,196
370,119,202
380,119,208
390,118,214
400,112,221
410,113,227
420,113,232
430,117,238
440,120,242
450,121,249
460,123,257
470,124,264
480,125,271
490,125,279
500,128,284
510,128,290
520,132,294
530,134,301
540,138,304
550,139,311
560,140,320
570,143,326
580,143,331
580,142,331
590,145,335
600,148,340
610,151,346
620,152,352
620,151,352
630,152,359
640,155,364
650,157,367
660,160,371
670,163,376
680,167,379
690,171,382
690,171,381
700,176,379
710,178,383
720,183,387
730,187,390
740,189,394
750,191,401
760,194,406
770,198,409
780,200,417
790,202,423
800,203,431
810,206,436
820,211,441
830,214,445
840,217,451
850,221,457
860,223,464
870,225,471
880,226,478
890,226,485
900,229,492
910,231,497
920,234,504
930,238,506
940,240,511
950,242,517
960,242,527
970,243,536
980,248,540
990,250,546
1000,251,553
1010,249,560
1020,253,565
1030,254,571
1040,255,577
1050,258,582
1060,259,587
1070,261,595
1080,263,602
1090,264,606
1100,266,609
1110,266,615
1110,265,615
1120,265,621
1120,264,621
1130,263,630
1140,264,634
1140,263,634
1150,262,641
1150,261,641
1160,261,648
1170,263,653
1180,264,658
1190,263,664
1200,263,671
1210,265,678
1220,265,682
1230,266,688
1240,267,693
1250,268,698
1260,268,705
1260,267,705
1270,265,713
1280,263,721
1290,262,730
1300,262,733
1300,262,732
1300,261,732
1300,260,732
1310,261,738
1320,264,743
1330,266,748
1340,268,752
1350,273,756
1360,275,760
1370,278,766
1380,279,769
1390,282,769
1400,283,776
1400,283,775
1410,285,780
1420,288,787
1430,291,791
1440,295,797
1450,296,806
1460,297,814
1470,298,821
1480,301,827
1490,304,831
1500,306,835
1510,305,845
1520,305,852
1530,304,858
1540,305,858
1550,307,863
1560,308,870
1570,310,875
1580,314,871
1590,319,870
1600,322,862
1610,324,868
1620,328,871
1630,332,872
1640,332,879
1650,333,887
1660,333,891
1670,335,895
1680,335,905
1690,335,912
1700,335,910
1710,338,905
1720,340,908
1730,346,905
1740,349,898
1750,351,904
1760,351,910
1760,351,909
1760,351,908
1770,351,908
1780,352,914
1790,356,917
1800,358,916
1810,362,906
1820,365,902
1830,370,895
1840,371,900
1850,372,902
1860,375,908
1870,377,914
1880,377,921
1890,374,930
1900,373,934
1910,373,943
1920,376,950
1930,377,957
1940,378,965
1950,382,964
1960,384,971
1970,384,975
1980,389,978
1990,393,977
2000,398,979
2010,399,984
2020,401,990
2030,403,997
2040,405,1003
2050,407,1006
2060,408,1013
2070,412,1019
2080,414,1027
2090,415,1036
2100,417,1043
