x,y,label,time,motherx,mothery
0,0,1,525,0,1
0,1,1,462,0,2
0,2,1,403,0,3
0,3,1,348,0,4
0,4,1,297,0,5
0,5,1,250,0,6
0,6,1,207,0,7
0,7,1,168,0,8
0,8,1,133,0,9
0,9,1,102,0,10
0,10,1,75,0,11
0,11,1,52,0,12
0,12,1,33,0,13
0,13,1,18,0,14
0,14,1,7,0,15
0,15,1,1,0,16
0,16,1,0,0,16
0,17,1,2,0,16
0,18,1,10,0,17
0,19,1,22,0,18
0,20,1,38,0,19
0,21,1,58,0,20
0,22,1,82,0,21
0,23,1,110,0,22
0,24,1,142,0,23
0,25,1,178,0,24
0,26,1,218,0,25
0,27,1,262,0,26
0,28,1,310,0,27
0,29,1,362,0,28
0,30,1,418,0,29
0,31,1,478,0,30
0,32,1,542,0,31
0,33,1,610,0,32
0,34,1,682,0,33
0,35,1,758,0,34
0,36,1,838,0,35
0,37,1,922,0,36
0,38,1,1010,0,37
0,39,1,1102,0,38
0,40,1,1198,0,39
0,41,1,1272,0,42
0,42,1,1173,0,43
0,43,1,1078,0,44
0,44,1,987,0,45
0,45,1,900,0,46
0,46,1,817,0,47
0,47,1,738,0,48
0,48,1,663,0,49
0,49,1,592,0,0
1,0,1,556,1,1
1,1,1,491,1,2
1,2,1,430,1,3
1,3,1,373,1,4
1,4,1,320,1,5
1,5,1,271,1,6
1,6,1,226,1,7
1,7,1,185,1,8
1,8,1,148,1,9
1,9,1,115,1,10
1,10,1,86,1,11
1,11,1,61,1,12
1,12,1,40,1,13
1,13,1,24,1,14
1,14,1,12,1,15
1,15,1,4,1,16
1,16,1,0,0,16
1,17,1,6,1,16
1,18,1,16,1,17
1,19,1,30,1,18
1,20,1,48,1,19
1,21,1,70,1,20
1,22,1,96,1,21
1,23,1,126,1,22
1,24,1,160,1,23
1,25,1,198,1,24
1,26,1,240,1,25
1,27,1,286,1,26
1,28,1,336,1,27
1,29,1,390,1,28
1,30,1,448,1,29
1,31,1,510,1,30
1,32,1,576,1,31
1,33,1,646,1,32
1,34,1,720,1,33
1,35,1,798,1,34
1,36,1,880,1,35
1,37,1,966,1,36
1,38,1,1056,1,37
1,39,1,1150,1,38
1,40,1,1248,1,39
1,41,1,1319,1,42
1,42,1,1220,1,43
1,43,1,1123,1,44
1,44,1,1030,1,45
1,45,1,941,1,46
1,46,1,856,1,47
1,47,1,775,1,48
1,48,1,698,1,49
1,49,1,625,1,0
2,0,1,624,2,1
2,1,1,555,2,2
2,2,1,490,2,3
2,3,1,429,2,4
2,4,1,372,2,5
2,5,1,319,2,6
2,6,1,270,2,7
2,7,1,225,2,8
2,8,1,184,2,9
2,9,1,147,2,10
2,10,1,114,2,11
2,11,1,85,2,12
2,12,1,60,1,12
2,13,1,41,1,13
2,14,1,25,1,14
2,15,1,13,1,15
2,16,1,5,1,16
2,17,1,15,2,16
2,18,1,29,2,17
2,19,1,47,2,18
2,20,1,69,2,19
2,21,1,95,2,20
2,22,1,125,2,21
2,23,1,159,2,22
2,24,1,197,2,23
2,25,1,239,2,24
2,26,1,285,2,25
2,27,1,335,2,26
2,28,1,389,2,27
2,29,1,447,2,28
2,30,1,509,2,29
2,31,1,575,2,30
2,32,1,645,2,31
2,33,1,719,2,32
2,34,1,797,2,33
2,35,1,879,2,34
2,36,1,965,2,35
2,37,1,1055,2,36
2,38,1,1149,2,37
2,39,1,1247,2,38
2,40,1,1346,2,39
2,41,1,1415,2,42
2,42,1,1318,2,43
2,43,1,1219,2,44
2,44,1,1122,2,45
2,45,1,1029,2,46
2,46,1,940,2,47
2,47,1,855,2,48
2,48,1,774,2,49
2,49,1,697,2,0
3,0,1,696,3,1
3,1,1,623,3,2
3,2,1,554,3,3
3,3,1,489,3,4
3,4,1,428,3,5
3,5,1,371,3,6
3,6,1,318,3,7
3,7,1,269,3,8
3,8,1,224,3,9
3,9,1,183,3,10
3,10,1,146,3,11
3,11,1,113,3,12
3,12,1,84,2,12
3,13,1,62,2,13
3,14,1,42,2,14
3,15,1,26,2,15
3,16,1,14,2,16
3,17,1,28,3,16
3,18,1,46,3,17
3,19,1,68,3,18
3,20,1,94,3,19
3,21,1,124,3,20
3,22,1,158,3,21
3,23,1,196,3,22
3,24,1,238,3,23
3,25,1,284,3,24
3,26,1,334,3,25
